Дата,Заражений,Смертей,Выздоровлений,Заражено на дату
10.10.2020,1285084,22454,1016202,246428
09.10.2020,1272238,22257,1009421,240560
08.10.2020,1260112,22056,1002329,235727
07.10.2020,1248619,21865,995275,231479
06.10.2020,1237504,21663,988576,227265
05.10.2020,1225889,21475,982324,222090
04.10.2020,1215001,21358,979143,214500
03.10.2020,1204502,21251,975859,207392
02.10.2020,1194643,21077,970296,203270
01.10.2020,1185231,20891,964242,200098
30.09.2020,1176286,20722,958257,197307
29.09.2020,1167805,20545,952399,194861
28.09.2020,1159573,20385,945920,193268
27.09.2020,1151438,20324,943218,187896
26.09.2020,1143571,20225,940150,183196
25.09.2020,1136048,20056,934146,181846
24.09.2020,1128836,19948,929829,179059
23.09.2020,1122241,19799,923699,178743
22.09.2020,1115810,19649,917949,178212
21.09.2020,1109595,19489,911973,178133
20.09.2020,1103399,19418,909357,174624
19.09.2020,1097251,19339,906462,171450
18.09.2020,1091186,19195,901207,170784
17.09.2020,1085281,19061,895868,170352
16.09.2020,1079519,18917,890114,170488
15.09.2020,1073849,18785,884305,170759
14.09.2020,1068320,18635,878700,170985
13.09.2020,1062811,18578,876225,168008
12.09.2020,1057362,18484,873535,165343
11.09.2020,1051874,18365,868107,165402
10.09.2020,1046370,18263,862373,165734
09.09.2020,1041007,18135,856458,166414
08.09.2020,1035789,17993,850049,167747
07.09.2020,1030690,17871,843277,169542
06.09.2020,1025505,17820,840949,166736
05.09.2020,1020310,17759,838126,164425
04.09.2020,1015105,17649,832747,164709
03.09.2020,1009995,17528,826935,165532
02.09.2020,1005000,17414,821169,166417
01.09.2020,1000048,17299,815705,167044
31.08.2020,995319,17176,809387,168756
30.08.2020,990326,17093,806982,166251
29.08.2020,985346,17025,804383,163938
28.08.2020,980405,16914,798466,165025
27.08.2020,975576,16804,792561,166211
26.08.2020,970865,16683,786150,168032
25.08.2020,966189,16568,779747,169874
24.08.2020,961493,16448,773095,171950
23.08.2020,956749,16383,770639,169727
22.08.2020,951897,16310,767477,168110
21.08.2020,946976,16189,761330,169457
20.08.2020,942106,16099,755513,170494
19.08.2020,937321,15989,749423,171909
18.08.2020,932493,15872,742628,173993
17.08.2020,927745,15740,736101,175904
16.08.2020,922853,15685,732968,174200
15.08.2020,917884,15617,729411,172856
14.08.2020,912823,15498,722964,174361
13.08.2020,907758,15384,716396,175978
12.08.2020,902701,15260,710298,177143
11.08.2020,897599,15131,703175,179293
10.08.2020,892654,15001,696681,180972
09.08.2020,887536,14931,693422,179183
08.08.2020,882347,14854,690207,177286
07.08.2020,877135,14725,683592,178818
06.08.2020,871894,14606,676357,180931
05.08.2020,866627,14490,669026,183111
04.08.2020,861423,14351,661471,185601
03.08.2020,856264,14207,653593,188464
02.08.2020,850870,14128,650173,186569
01.08.2020,845443,14058,646524,184861
31.07.2020,839981,13963,638410,187608
30.07.2020,834499,13802,629655,191042
29.07.2020,828990,13673,620333,194984
28.07.2020,823515,13504,612217,197794
27.07.2020,818120,13354,603329,201437
26.07.2020,812485,13269,600250,198966
25.07.2020,806720,13192,597140,196388
24.07.2020,800849,13046,588774,199029
23.07.2020,795038,12892,580330,201816
22.07.2020,789190,12745,572053,204392
21.07.2020,783328,12580,562384,208364
20.07.2020,777486,12427,553602,211457
19.07.2020,771546,12342,550344,208860
18.07.2020,765437,12247,546863,206327
17.07.2020,759203,12123,539373,207707
16.07.2020,752797,11937,531692,209168
15.07.2020,746369,11770,523249,211350
14.07.2020,739947,11614,512825,215508
13.07.2020,733699,11439,504021,218239
12.07.2020,727162,11335,501061,214766
11.07.2020,720547,11205,497446,211896
10.07.2020,713936,11017,489068,213851
09.07.2020,707301,10843,481316,215142
08.07.2020,700792,10667,472511,217614
07.07.2020,694230,10494,463880,219856
06.07.2020,687862,10296,454329,223237
05.07.2020,681251,10161,450750,220340
04.07.2020,674515,10027,446879,217609
03.07.2020,667883,9859,437893,220131
02.07.2020,661165,9683,428978,222504
01.07.2020,654405,9536,422931,221938
30.06.2020,647849,9320,412650,225879
29.06.2020,641156,9166,403430,228560
28.06.2020,634437,9073,399087,226277
27.06.2020,627646,8969,393352,225325
26.06.2020,620794,8781,384152,227861
25.06.2020,613994,8605,375164,230225
24.06.2020,606881,8513,368822,229546
23.06.2020,599705,8359,356429,234917
22.06.2020,592280,8206,344416,239658
21.06.2020,584680,8111,339711,236858
20.06.2020,576952,8002,334592,234358
19.06.2020,569063,7841,324406,236816
18.06.2020,561091,7660,313963,239468
17.06.2020,553301,7478,304342,241481
16.06.2020,545458,7284,294306,243868
15.06.2020,537210,7091,284539,245580
14.06.2020,528964,6948,280050,241966
13.06.2020,520129,6829,274641,238659
12.06.2020,511423,6715,269370,235338
11.06.2020,502436,6532,261150,234754
10.06.2020,493657,6358,252783,234516
09.06.2020,485253,6142,242397,236714
08.06.2020,476658,5971,230688,239999
07.06.2020,467673,5859,226731,235083
06.06.2020,458689,5725,221388,231576
05.06.2020,449834,5528,212680,231626
04.06.2020,441108,5384,204623,231101
03.06.2020,432277,5215,195957,231105
02.06.2020,423741,5037,186985,231719
01.06.2020,414878,4855,175877,234146
31.05.2020,405843,4693,171883,229267
30.05.2020,396575,4555,167469,224551
29.05.2020,387623,4374,159257,223992
28.05.2020,379051,4142,150993,223916
27.05.2020,370680,3968,142208,224504
26.05.2020,362342,3807,131129,227406
25.05.2020,353427,3633,118798,230996
24.05.2020,344481,3541,113299,227641
23.05.2020,335882,3388,107936,224558
22.05.2020,326448,3249,99825,223374
21.05.2020,317554,3099,92681,221774
20.05.2020,308705,2972,85392,220341
19.05.2020,299941,2837,76130,220974
18.05.2020,290678,2722,70209,217747
17.05.2020,281752,2631,67373,211748
16.05.2020,272043,2537,63166,206340
15.05.2020,262843,2418,58226,202199
14.05.2020,252245,2305,53530,196410
13.05.2020,242271,2212,48003,192056
12.05.2020,232243,2116,43512,186615
11.05.2020,221344,2009,39801,179534
10.05.2020,209688,1915,34306,173467
09.05.2020,198676,1827,31916,164933
08.05.2020,187859,1723,26608,159528
07.05.2020,177160,1625,23803,151732
06.05.2020,165929,1537,21327,143065
05.05.2020,155370,1451,19865,134054
04.05.2020,145268,1356,18095,125817
03.05.2020,134687,1280,16639,116768
02.05.2020,124054,1222,15013,107819
01.05.2020,114431,1169,13220,100042
30.04.2020,106498,1073,11619,93806
29.04.2020,99399,972,10286,88141
28.04.2020,93558,867,8456,84235
27.04.2020,87147,794,7346,79007
26.04.2020,80949,747,6767,73435
25.04.2020,74588,681,6250,67657
24.04.2020,68622,615,5568,62439
23.04.2020,62773,555,4891,57327
22.04.2020,57999,513,4420,53066
21.04.2020,52763,456,3873,48434
20.04.2020,47121,405,3446,43270
19.04.2020,42853,361,3291,39201
18.04.2020,36793,313,3057,33423
17.04.2020,32008,273,2590,29145
16.04.2020,27938,232,2304,25402
15.04.2020,24490,198,1986,22306
14.04.2020,21102,170,1694,19238
13.04.2020,18328,148,1470,16710
12.04.2020,15770,130,1291,14349
11.04.2020,13584,106,1045,12433
10.04.2020,11917,94,795,11028
09.04.2020,10131,76,698,9357
08.04.2020,8672,63,580,8029
07.04.2020,7497,58,494,6945
06.04.2020,6343,47,406,5890
05.04.2020,5389,45,355,4989
04.04.2020,4731,43,333,4355
03.04.2020,4149,34,281,3834
02.04.2020,3548,30,235,3283
01.04.2020,2777,24,190,2563
31.03.2020,2337,17,121,2199
30.03.2020,1836,9,66,1761
29.03.2020,1534,8,64,1462
28.03.2020,1264,4,49,1211
27.03.2020,1036,3,45,988
26.03.2020,840,2,38,800
25.03.2020,658,0,29,629
24.03.2020,495,0,22,473
23.03.2020,438,0,17,421
22.03.2020,367,0,16,351
21.03.2020,306,0,16,290
20.03.2020,253,0,12,241
19.03.2020,199,0,5,194
18.03.2020,147,0,5,142
17.03.2020,114,0,5,109
16.03.2020,93,0,5,88
15.03.2020,63,0,3,60
14.03.2020,59,0,2,57
13.03.2020,45,0,2,43
12.03.2020,34,0,2,32
11.03.2020,28,0,2,26
10.03.2020,20,0,2,18
09.03.2020,17,0,2,15
08.03.2020,14,0,2,12
07.03.2020,11,0,1,10
06.03.2020,7,0,1,6
